# t_sec x y z
5.04926 -0.00610865 0.761901 -0.0534507
5.06006 0.00534507 0.632092 -0.0400116
5.07086 0.00962112 0.563675 -0.0287106
5.08165 0.0138972 0.53359 -0.0323758
5.09245 0.0296269 0.483041 -0.038179
5.10324 0.0520762 0.409279 -0.0253509
5.11404 0.0675006 0.41661 0.00152716
5.12483 0.0723875 0.490677 0.0106901
5.13563 0.0708603 0.559552 -0.00274889
5.14643 0.0818559 0.544891 -0.019395
5.15722 0.104305 0.486707 -0.0201585
5.16802 0.122937 0.476016 -0.0184787
5.17881 0.147371 0.52458 -0.0218384
5.18961 0.168446 0.596968 -0.0319177
5.2004 0.179594 0.638506 -0.0401644
5.2112 0.177151 0.658207 -0.0331394
5.22199 0.172264 0.637437 0.00305432
5.23279 0.166613 0.593302 0.0568104
5.24359 0.153938 0.579863 0.122478
5.25438 0.149509 0.53191 0.200669
5.26518 0.154243 0.432187 0.261297
5.27597 0.1996 0.232129 0.159894
5.28677 0.184023 0.473573 -0.0143553
5.29756 0.135459 0.574213 -0.0668897
5.30836 0.0975856 0.515112 -0.0534507
5.31915 0.0838412 0.511141 -0.0355829
5.32995 0.0830776 0.532216 -0.0245873
5.34075 0.0784961 0.566577 -0.0229074
5.35154 0.0621555 0.578184 -0.0238237
5.36234 0.0248927 0.601091 -0.0274889
5.37313 -0.0172569 0.628733 -0.025809
5.38393 -0.0546724 0.597426 -0.0222966
5.39472 -0.0974329 0.561079 -0.0172569
5.40552 -0.12874 0.561996 -0.0132863
5.41631 -0.149967 0.585514 -0.0157298
5.42711 -0.161726 0.592539 -0.0197004
5.43791 -0.172722 0.585514 -0.0213803
5.4487 -0.174707 0.57009 -0.0155771
5.4595 -0.167835 0.561232 -0.00839939
5.47029 -0.157603 0.589637 -0.0128282
5.48109 -0.151189 0.640186 -0.02474
5.49188 -0.152716 0.667828 -0.032834
5.50268 -0.151189 0.651487 -0.025809
5.51347 -0.143401 0.701731 -0.0180205
5.52427 -0.139735 0.733801 -0.0149662
5.53507 -0.132405 0.70448 -0.0108428
5.54586 -0.116981 0.68203 -0.0047342
5.55666 -0.101404 0.700509 -0.00580322
5.56745 -0.0850629 0.686612 -0.01237
5.57825 -0.0810923 0.70784 -0.0209221
5.58904 -0.080176 0.755334 -0.0197004
5.59984 -0.0722348 0.790764 -0.0161879
5.61064 -0.0722348 0.736398 -0.0111483
5.62143 -0.0749836 0.67806 -0.000152716
5.63223 -0.0671951 0.678823 -0.00458149
5.64302 -0.0569631 0.647517 -0.0157298
5.65382 -0.0448986 0.616973 -0.00748309
5.66461 -0.0290161 0.58475 -0.00229074
5.67541 -0.00992655 0.540004 0.000152716
5.6862 0.0212276 0.505338 0.00794124
5.697 0.0560468 0.486554 0.0111483
5.7078 0.0842993 0.438906 0.0106901
5.71859 0.116522 0.407294 0.00549778
5.72939 0.149509 0.376598 0.00213803
5.74018 0.176387 0.368657 0.000916297
5.75098 0.195324 0.343764 -0.00397062
5.76177 0.21365 0.308334 -0.00916297
5.77257 0.229532 0.299782 -0.0184787
5.78336 0.238543 0.285121 -0.0299324
5.79416 0.242666 0.277333 -0.0267253
5.80496 0.239764 0.292757 -0.0148135
5.81575 0.233198 0.327882 -0.0140499
5.82655 0.212581 0.358425 -0.0189368
5.83734 0.186925 0.35476 -0.0192422
5.84814 0.165392 0.324522 -0.0169515
5.85893 0.133627 0.351553 -0.0132863
5.86973 0.115912 0.393397 -0.0140499
5.88053 0.0870482 0.474947 -0.0155771
5.89132 0.0601702 0.529009 -0.0209221
5.90212 0.0183259 0.501215 -0.0233656
5.91291 -0.0684169 0.427605 -0.0311541
5.92371 -0.183412 0.460134 -0.0384845
5.9345 -0.266032 0.533896 -0.0363465
5.9453 -0.28787 0.43463 -0.0316123
5.95609 -0.26649 0.209221 -0.00748309
5.96689 -0.280692 0.033903 -0.000610865
5.97769 -0.310014 0.101404 -0.00626136
5.98848 -0.332463 0.216552 0.00137445
5.99928 -0.336892 0.213039 0.0216857
6.01007 -0.321773 0.182343 0.044135
6.02087 -0.298102 0.205556 0.04948
6.03166 -0.26649 0.205709 0.047342
6.04246 -0.242055 0.23671 0.0340557
6.05325 -0.219148 0.273209 0.00519235
6.06405 -0.184023 0.304974 -0.0279471
6.07485 -0.155618 0.339183 -0.0540615
6.08564 -0.147829 0.33231 -0.0595593
6.09644 -0.116217 0.26481 -0.0218384
6.10723 -0.0844521 0.243124 0.00885754
6.11803 -0.0737619 0.268322 -0.00458149
6.12882 -0.0847575 0.268475 -0.0100793
6.13962 -0.0981965 0.295353 -0.00595593
6.15042 -0.0923933 0.30757 0.00106901
6.16121 -0.068875 0.560316 0.00549778
6.17201 -0.01237 0.72418 0.0213803
6.1828 0.0496328 0.788016 0.0132863
6.1936 0.0963639 0.875675 0.00427605
6.20439 0.0945313 0.90805 0.00305432
6.21519 0.0711657 0.852309 0.00794124
6.22598 0.0300851 0.719599 0.0100793
6.23678 -0.0221438 0.58475 -0.000610865
6.24758 -0.0581849 0.527482 0.00229074
6.25837 -0.0754418 0.51954 -0.00595593
6.26917 -0.0916297 0.48915 -0.00962112
6.27996 -0.110719 0.4273 -0.00503963
6.29076 -0.123853 0.443946 -0.00183259
6.30155 -0.147524 0.588568 0.000152716
6.31235 -0.148746 0.725707 -0.0120646
6.32314 -0.117439 0.689972 -0.0131336
6.33394 -0.0937677 0.607963 -0.00305432
